,GLIR,Qo
0,54.20000000000016,165.0000000000002
1,46.99929288197045,162.69295605597787
2,40.483007310248816,160.44300634469792
3,34.681550352077565,158.26077798708025
4,29.617763701385833,156.15684638310051
5,25.30667452678801,154.14156157203718
6,21.75534833994234,152.22487212833113
7,18.962845840544844,150.41614992021212
8,16.92028420990318,148.72401908274827
9,15.611001835890026,147.15619252087015
10,15.010823980222291,145.71931916149072
11,15.088425466216599,144.41884501845078
12,15.805785092583722,143.25889092203164
13,17.118725186613965,142.24214949957968
14,18.97752851720303,141.3698036796758
15,21.327623711937093,140.64146863445893
16,24.110329378498676,140.05515867913272
17,27.263646332506546,139.60728022101205
18,30.723086692915103,139.29265139993987
19,34.42252813120283,139.10454859520692
20,38.29508125822649,139.03477949927117
21,42.273958006622074,139.07378198380468
22,46.29332891820708,139.21074751716327
23,50.28915747348521,139.43376744246197
24,54.200000000000145,139.73000000000016
25,57.967760261269646,140.08585558440615
26,61.53838854926905,140.4871973726648
27,64.8625159695339,140.91955415062012
28,67.89601560541396,141.36834190837857
29,70.60048336141969,141.8190905741673
30,72.94363249788712,142.25767211563664
31,74.89959716186864,142.6705261603267
32,76.44914157263995,143.04487927497894
33,77.57977291408525,143.3689540974358
34,78.28575739955966,143.6321646347407
35,78.56804038652221,143.8252942253751
36,78.43407280729843,143.94065290983247
37,77.89754752822651,143.9722112584019
38,76.97805053238457,143.91570806353064
39,75.700633022336,143.76872971094437
40,74.09531164145511,143.53075949244766
41,72.19650499956259,143.20319560686852
42,70.04241554678804,142.78933710616624
43,67.67436655676546,142.29433757298364
44,65.1361045466474,141.72512685521605
45,62.47307786947637,141.09030172353692
46,59.73170245912276,140.399986850262
47,56.95862578669619,139.66566802345335
48,54.20000000000009,138.90000000000015
49,51.50077496668057,138.116591857148
50,48.90402153211047,137.32977311564764
51,46.45029474203049,136.55434427205773
52,44.17704607706288,135.80531568622993
53,42.118092913025436,135.09763901693327
54,40.303152471036,134.44593557923872
55,38.757446469913916,133.86422610802254
56,37.50138155701624,133.36566645021566
