index,glir11,qo11,qt11,glir22,qo22,qt22
1,542,58.476,45.1715,0,12.927,9.238
2,542,58.476,45.1715,0,12.927,9.238
3,542,58.476,45.1715,0,12.927,9.238
4,542,58.476,45.1715,0,12.927,9.238
5,542,58.476,45.1715,0,12.927,9.238
6,542,58.476,45.1715,0,12.927,9.238
7,542,58.476,45.1715,0,12.927,9.238
8,542,58.476,45.1715,0,12.927,9.238
9,542,58.476,45.1715,0,12.927,9.238
10,542,58.476,45.1715,0,12.927,9.238
11,542,96.2281056,80.6311275,0,20.463441,15.723076
12,542,96.2281056,80.6311275,0,20.463441,15.723076
13,542,96.2281056,80.6311275,0,20.463441,15.723076
14,542,96.2281056,80.6311275,0,20.463441,15.723076
15,542,96.2281056,80.6311275,0,20.463441,15.723076
16,542,96.2281056,80.6311275,0,20.463441,15.723076
17,542,96.2281056,80.6311275,0,20.463441,15.723076
18,542,96.2281056,80.6311275,0,20.463441,15.723076
19,542,96.2281056,80.6311275,0,20.463441,15.723076
20,542,96.2281056,80.6311275,0,20.463441,15.723076
21,542,120.600865,108.4669351,0,24.8571861,20.27559935
22,542,120.600865,108.4669351,0,24.8571861,20.27559935
23,542,120.600865,108.4669351,0,24.8571861,20.27559935
24,542,120.600865,108.4669351,0,24.8571861,20.27559935
25,542,120.600865,108.4669351,0,24.8571861,20.27559935
26,542,120.600865,108.4669351,0,24.8571861,20.27559935
27,542,120.600865,108.4669351,0,24.8571861,20.27559935
28,542,120.600865,108.4669351,0,24.8571861,20.27559935
29,542,120.600865,108.4669351,0,24.8571861,20.27559935
30,542,120.600865,108.4669351,0,24.8571861,20.27559935
31,542,136.3359184,130.318044,0,27.4187395,23.47147075
32,542,136.3359184,130.318044,0,27.4187395,23.47147075
33,542,136.3359184,130.318044,0,27.4187395,23.47147075
34,542,136.3359184,130.318044,0,27.4187395,23.47147075
35,542,136.3359184,130.318044,0,27.4187395,23.47147075
36,542,136.3359184,130.318044,0,27.4187395,23.47147075
37,542,136.3359184,130.318044,0,27.4187395,23.47147075
38,542,136.3359184,130.318044,0,27.4187395,23.47147075
39,542,136.3359184,130.318044,0,27.4187395,23.47147075
40,542,136.3359184,130.318044,0,27.4187395,23.47147075
41,542,146.4944689,147.4711646,0,28.91212513,25.71497246
42,542,146.4944689,147.4711646,0,28.91212513,25.71497246
43,542,146.4944689,147.4711646,0,28.91212513,25.71497246
44,542,146.4944689,147.4711646,0,28.91212513,25.71497246
45,542,146.4944689,147.4711646,0,28.91212513,25.71497246
46,542,146.4944689,147.4711646,0,28.91212513,25.71497246
47,542,146.4944689,147.4711646,0,28.91212513,25.71497246
48,542,146.4944689,147.4711646,0,28.91212513,25.71497246
49,542,146.4944689,147.4711646,0,28.91212513,25.71497246
50,542,146.4944689,147.4711646,0,28.91212513,25.71497246
51,542,153.0528291,160.9363642,0,29.78276895,27.28991067
52,542,153.0528291,160.9363642,0,29.78276895,27.28991067
53,542,153.0528291,160.9363642,0,29.78276895,27.28991067
54,542,153.0528291,160.9363642,0,29.78276895,27.28991067
55,542,153.0528291,160.9363642,0,29.78276895,27.28991067
56,542,153.0528291,160.9363642,0,29.78276895,27.28991067
57,542,153.0528291,160.9363642,0,29.78276895,27.28991067
58,542,153.0528291,160.9363642,0,29.78276895,27.28991067
59,542,153.0528291,160.9363642,0,29.78276895,27.28991067
60,542,153.0528291,160.9363642,0,29.78276895,27.28991067
61,542,157.2869065,171.5065459,0,30.2903543,28.39551729
62,542,157.2869065,171.5065459,0,30.2903543,28.39551729
63,542,157.2869065,171.5065459,0,30.2903543,28.39551729
64,542,157.2869065,171.5065459,0,30.2903543,28.39551729
65,542,157.2869065,171.5065459,0,30.2903543,28.39551729
66,542,157.2869065,171.5065459,0,30.2903543,28.39551729
67,542,157.2869065,171.5065459,0,30.2903543,28.39551729
68,542,157.2869065,171.5065459,0,30.2903543,28.39551729
69,542,157.2869065,171.5065459,0,30.2903543,28.39551729
70,542,157.2869065,171.5065459,0,30.2903543,28.39551729
71,542,160.0204268,179.8041385,0,30.58627656,29.17165314
72,542,160.0204268,179.8041385,0,30.58627656,29.17165314
73,542,160.0204268,179.8041385,0,30.58627656,29.17165314
74,542,160.0204268,179.8041385,0,30.58627656,29.17165314
75,542,160.0204268,179.8041385,0,30.58627656,29.17165314
76,542,160.0204268,179.8041385,0,30.58627656,29.17165314
77,542,160.0204268,179.8041385,0,30.58627656,29.17165314
78,542,160.0204268,179.8041385,0,30.58627656,29.17165314
79,542,160.0204268,179.8041385,0,30.58627656,29.17165314
80,542,160.0204268,179.8041385,0,30.58627656,29.17165314
81,542,161.7851876,186.3177487,0,30.75879923,29.7165005
82,542,161.7851876,186.3177487,0,30.75879923,29.7165005
83,542,161.7851876,186.3177487,0,30.75879923,29.7165005
84,542,161.7851876,186.3177487,0,30.75879923,29.7165005
85,542,161.7851876,186.3177487,0,30.75879923,29.7165005
86,542,161.7851876,186.3177487,0,30.75879923,29.7165005
87,542,161.7851876,186.3177487,0,30.75879923,29.7165005
88,542,161.7851876,186.3177487,0,30.75879923,29.7165005
89,542,161.7851876,186.3177487,0,30.75879923,29.7165005
90,542,161.7851876,186.3177487,0,30.75879923,29.7165005
91,542,162.9245171,191.4309328,0,30.85937995,30.09898335
92,542,162.9245171,191.4309328,0,30.85937995,30.09898335
93,542,162.9245171,191.4309328,0,30.85937995,30.09898335
94,542,162.9245171,191.4309328,0,30.85937995,30.09898335
95,542,162.9245171,191.4309328,0,30.85937995,30.09898335
96,542,162.9245171,191.4309328,0,30.85937995,30.09898335
