index,glir,qo,qt,wc,ch,gor
133,54.2,141,335,3.99,790.2,20439.72
134,54.2,141,335,3.99,790.2,20439.72
135,54.2,139.79,333.79,3.99,777,21260.46
136,54.2,139.79,333.79,3.99,777,21260.46
137,54.2,139.79,333.79,3.99,777,21260.46
138,54.2,139.79,333.79,3.99,777,21260.46
139,54.2,139.79,333.79,3.99,777,21260.46
140,54.2,139.79,333.79,3.99,777,21260.46
141,54.2,139.79,333.79,3.99,777,21260.46
142,54.2,139.79,333.79,3.99,777,21260.46
143,54.2,139.79,333.79,3.99,777,21260.46
144,54.2,139.79,333.79,3.99,777,21260.46
145,54.2,139.79,333.79,3.99,777,21260.46
146,54.2,139.79,333.79,3.99,777,21260.46
147,54.2,139.79,333.79,3.99,777,21260.46
148,54.2,139.79,333.79,3.99,777,21260.46
149,54.2,139.79,333.79,3.99,777,21260.46
150,54.2,139.79,333.79,3.99,777,21260.46
151,54.2,139.79,333.79,3.99,777,21260.46
152,54.2,139.79,333.79,3.99,777,21260.46
153,54.2,139.79,333.79,3.99,777,21260.46
154,54.2,139.79,333.79,3.99,777,21260.46
155,54.2,139.79,333.79,3.99,777,21260.46
156,54.2,139.79,333.79,3.99,777,21260.46
157,54.2,139.79,333.79,3.99,777,21260.46
158,54.2,139.79,333.79,3.99,777,21260.46
159,54.2,139.79,333.79,3.99,777,21260.46
160,54.2,139.79,333.79,3.99,777,21260.46
161,54.2,139.79,333.79,3.99,777,21260.46
162,54.2,139.79,333.79,3.99,777,21260.46
163,54.2,139.79,333.79,3.99,777,21260.46
164,54.2,139.79,333.79,3.99,777,21260.46
165,54.2,139.79,333.79,3.99,777,21260.46
166,54.2,139.79,333.79,3.99,777,21260.46
167,54.2,139.79,333.79,3.99,777,21260.46
168,54.2,137.52,331.52,3.99,941.01,19139.03
169,54.2,137.52,331.52,3.99,941.01,19139.03
170,54.2,137.52,331.52,3.99,941.01,19139.03
171,54.2,137.52,331.52,3.99,941.01,19139.03
172,54.2,137.52,331.52,3.99,941.01,19139.03
173,54.2,137.52,331.52,3.99,941.01,19139.03
174,54.2,137.52,331.52,3.99,941.01,19139.03
175,54.2,137.52,331.52,3.99,941.01,19139.03
176,54.2,137.52,331.52,3.99,941.01,19139.03
177,54.2,137.52,331.52,3.99,941.01,19139.03
178,54.2,137.52,331.52,3.99,941.01,19139.03
179,54.2,137.52,331.52,3.99,941.01,19139.03
180,54.2,137.52,331.52,3.99,941.01,19139.03
181,54.2,137.52,331.52,3.99,941.01,19139.03
182,54.2,137.52,331.52,3.99,941.01,19139.03
183,54.2,137.52,331.52,3.99,941.01,19139.03
184,54.2,137.52,331.52,3.99,941.01,19139.03
185,54.2,137.52,331.52,3.99,941.01,19139.03
186,54.2,137.52,331.52,3.99,941.01,19139.03
187,54.2,137.52,331.52,3.99,941.01,19139.03
188,54.2,137.52,331.52,3.99,941.01,19139.03
189,54.2,137.52,331.52,3.99,941.01,19139.03
190,54.2,137.52,331.52,3.99,941.01,19139.03
191,54.2,137.52,331.52,3.99,941.01,19139.03
192,54.2,137.52,331.52,3.99,941.01,19139.03
193,54.2,137.52,331.52,3.99,941.01,19139.03
194,54.2,137.52,331.52,3.99,941.01,19139.03
195,54.2,137.52,331.52,3.99,941.01,19139.03
196,54.2,137.52,331.52,3.99,941.01,19139.03
197,54.2,137.52,331.52,3.99,941.01,19139.03
198,54.2,137.52,331.52,3.99,941.01,19139.03
199,54.2,137.52,331.52,3.99,941.01,19139.03
200,54.2,137.52,331.52,3.99,941.01,19139.03
201,54.2,135.35,329.35,3.99,985,19667.53
202,54.2,135.35,329.35,3.99,985,19667.53
203,54.2,135.35,329.35,3.99,985,19667.53
204,54.2,135.35,329.35,3.99,985,19667.53
205,54.2,135.35,329.35,3.99,985,19667.53
206,54.2,135.35,329.35,3.99,985,19667.53
207,54.2,135.35,329.35,3.99,985,19667.53
